"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"KRX_RESET","DS000477","삼성전자","0193L0","SHORT","20/30","3/5","10","78","77","1","1","26.92","-0.1195","-0.1800","5.06","-1.8012","3.2104","-90749","909251","-9.0749"
"KRX_RESET","DS004280","SK하이닉스","0193T0","LONG","20/30","10/30","5","51","47","4","2","23.53","-0.1635","-0.7263","28.78","-2.5077","9.8451","-90932","909068","-9.0932"
"KRX_RESET","DS001319","SK하이닉스","0197X0","SHORT","5/30","5/10","30","56","56","0","2","32.14","-0.1645","-0.2633","11.61","-2.5052","3.4245","-91122","908878","-9.1122"
"KRX_RESET","DS004296","SK하이닉스","0197X0","SHORT","20/30","10/30","50","53","52","1","3","35.85","-0.1625","-0.4527","27.72","-4.0382","5.5718","-91315","908685","-9.1315"
"KRX_RESET","DS004055","SK하이닉스","0197X0","SHORT","5/20","10/30","30","76","71","5","4","31.58","-0.1111","-0.4217","24.01","-4.0363","6.7199","-91336","908664","-9.1336"
"KRX_RESET","DS002184","SK하이닉스","0197X0","SHORT","10/20","5/20","50","67","64","3","2","31.34","-0.1326","-0.5236","17.13","-2.1214","3.8259","-91646","908354","-9.1646"
"KRX_RESET","DS000768","삼성전자","0193L0","SHORT","10/20","3/10","50","71","69","2","2","26.76","-0.1340","-0.2000","9.17","-1.3446","2.1372","-92102","907898","-9.2102"
"KRX_RESET","DS000167","SK하이닉스","0197X0","SHORT","3/20","3/5","30","92","89","3","2","34.78","-0.1015","-0.2474","5.49","-1.4438","3.7141","-92181","907819","-9.2181"
"KRX_RESET","DS004248","SK하이닉스","0197X0","SHORT","10/30","10/30","50","57","55","2","2","36.84","-0.1530","-0.4685","24.63","-4.3224","6.1428","-92445","907555","-9.2445"
"KRX_RESET","DS003683","삼성전자","0193W0","LONG","3/30","5/30","30","77","71","6","2","31.17","-0.1201","-0.3811","16.77","-1.5183","3.6560","-92486","907514","-9.2486"
"KRX_RESET","DS001306","SK하이닉스","0193T0","LONG","5/30","5/10","20","74","72","2","2","31.08","-0.1249","-0.3081","10.70","-2.1816","5.3457","-92588","907412","-9.2588"
"KRX_RESET","DS002179","SK하이닉스","0197X0","SHORT","10/20","5/20","NONE","149","142","7","2","37.58","-0.0549","-0.3801","17.91","-3.0554","5.5559","-92692","907308","-9.2692"
"KRX_RESET","DS001390","삼성전자","0193L0","SHORT","10/30","5/10","20","87","83","4","3","37.93","-0.1094","-0.1787","10.54","-1.5721","2.3042","-92856","907144","-9.2856"
"KRX_RESET","DS002134","SK하이닉스","0197X0","SHORT","5/20","5/20","20","80","75","5","2","28.75","-0.1147","-0.3588","16.76","-2.2887","4.9908","-93177","906823","-9.3177"
"KRX_RESET","DS002375","SK하이닉스","0197X0","SHORT","20/30","5/20","30","60","59","1","2","30.00","-0.1569","-0.3887","18.47","-2.4603","3.1758","-93491","906509","-9.3491"
