계산방식,전략id,신호종목,실행상품코드,방향,진입ma,청산ma,추세ma,거래수,정상청산수,마감1519청산수,최대동시open,승률_pct,평균순수익률_pct,중앙순수익률_pct,평균보유분,최악거래_pct,최고거래_pct,누적복리손익,최종복리자본,누적복리수익률_pct,mdd_pct
KRX_CONTINUOUS_AFTERNOON,DS002327,SK하이닉스,0197X0,SHORT,10/30,5/20,30,44,35,9,1,43.18,-0.3709,-0.5394,15.84,-3.9485,4.9120,-155328,844672,-15.5328,-18.4578
KRX_CONTINUOUS_AFTERNOON,DS003551,삼성전자,0193L0,SHORT,3/20,5/30,30,84,61,23,3,32.14,-0.1843,-0.3722,19.60,-5.7598,7.7877,-155478,844522,-15.5478,-26.1165
KRX_CONTINUOUS_AFTERNOON,DS004259,삼성전자,0193W0,LONG,10/30,10/30,30,47,33,14,1,23.40,-0.3500,-0.6637,18.04,-1.9832,4.1489,-155638,844362,-15.5638,-20.6058
KRX_CONTINUOUS_AFTERNOON,DS003679,삼성전자,0193W0,LONG,3/30,5/30,NONE,140,96,44,3,29.29,-0.1052,-0.5126,16.11,-2.7612,7.4410,-155769,844231,-15.5769,-22.0860
KRX_CONTINUOUS_AFTERNOON,DS001352,SK하이닉스,0193T0,LONG,10/30,5/10,5,68,60,8,2,29.41,-0.2367,-0.4364,9.51,-3.7543,5.4794,-155952,844048,-15.5952,-17.1878
KRX_CONTINUOUS_AFTERNOON,DS004772,SK하이닉스,0197X0,SHORT,20/30,20/30,5,63,39,24,1,38.10,-0.2421,-0.2485,23.38,-5.3405,8.5734,-156066,843934,-15.6066,-16.6899
KRX_CONTINUOUS_AFTERNOON,DS001847,SK하이닉스,0197X0,SHORT,10/30,3/20,30,44,36,8,1,47.73,-0.3753,-0.2366,13.52,-3.4648,2.3608,-156281,843719,-15.6281,-19.3882
KRX_CONTINUOUS_AFTERNOON,DS003166,삼성전자,0193L0,SHORT,10/20,3/30,20,50,40,10,2,28.00,-0.3332,-0.5031,18.68,-2.4593,3.0450,-156305,843695,-15.6305,-17.9874
KRX_CONTINUOUS_AFTERNOON,DS003588,삼성전자,0193W0,LONG,5/20,5/30,50,64,42,22,3,31.25,-0.2547,-0.4268,15.44,-2.6181,5.3151,-156404,843596,-15.6404,-23.1151
KRX_CONTINUOUS_AFTERNOON,DS002304,삼성전자,0193L0,SHORT,5/30,5/20,50,65,50,15,3,35.38,-0.2499,-0.3410,14.89,-2.6359,4.9865,-156523,843477,-15.6523,-21.3642
KRX_CONTINUOUS_AFTERNOON,DS000439,SK하이닉스,0193T0,LONG,20/30,3/5,NONE,94,86,8,2,28.72,-0.1732,-0.3409,5.78,-5.0248,5.2295,-156606,843394,-15.6606,-15.6606
KRX_CONTINUOUS_AFTERNOON,DS002650,SK하이닉스,0193T0,LONG,10/20,10/20,20,61,42,19,1,34.43,-0.2638,-0.4956,16.80,-4.2466,7.2838,-157022,842978,-15.7022,-19.3060
KRX_CONTINUOUS_AFTERNOON,DS000659,삼성전자,0193W0,LONG,3/20,3/10,30,93,80,13,2,29.03,-0.1779,-0.3540,7.37,-2.4411,4.8874,-157122,842878,-15.7122,-15.7324
KRX_CONTINUOUS_AFTERNOON,DS003332,SK하이닉스,0197X0,SHORT,20/30,3/30,5,63,47,16,2,33.33,-0.2517,-0.4743,18.19,-3.6688,7.1181,-157478,842522,-15.7478,-17.4082
KRX_CONTINUOUS_AFTERNOON,DS003237,SK하이닉스,0197X0,SHORT,5/30,3/30,10,87,63,24,2,37.93,-0.1829,-0.4420,16.17,-5.0713,6.4165,-157506,842494,-15.7506,-19.9105
KRX_CONTINUOUS_AFTERNOON,DS000250,SK하이닉스,0193T0,LONG,10/20,3/5,20,61,56,5,1,27.87,-0.2758,-0.4049,4.89,-2.5055,5.2213,-157568,842432,-15.7568,-17.3937
KRX_CONTINUOUS_AFTERNOON,DS003732,삼성전자,0193W0,LONG,5/30,5/30,50,49,31,18,2,20.41,-0.3413,-0.5396,12.61,-1.9433,4.9065,-157573,842427,-15.7573,-20.6234
KRX_CONTINUOUS_AFTERNOON,DS003059,삼성전자,0193W0,LONG,3/20,3/30,30,93,74,19,4,27.96,-0.1740,-0.4353,12.67,-2.6665,6.2870,-157638,842362,-15.7638,-18.4391
KRX_CONTINUOUS_AFTERNOON,DS004727,SK하이닉스,0197X0,SHORT,10/30,20/30,30,44,31,13,3,40.91,-0.3677,-0.3223,20.82,-6.7901,4.9120,-158085,841915,-15.8085,-25.8248
KRX_CONTINUOUS_AFTERNOON,DS000815,삼성전자,0193L0,SHORT,3/30,3/10,30,60,48,12,2,31.67,-0.2833,-0.3329,8.18,-3.4095,2.1975,-158557,841443,-15.8557,-16.4694
KRX_CONTINUOUS_AFTERNOON,DS001776,삼성전자,0193L0,SHORT,3/30,3/20,50,69,53,16,3,33.33,-0.2399,-0.4113,13.87,-3.4505,5.0239,-158868,841132,-15.8868,-19.3885
KRX_CONTINUOUS_AFTERNOON,DS003717,SK하이닉스,0197X0,SHORT,5/30,5/30,10,87,61,26,1,41.38,-0.1854,-0.2352,17.24,-3.9745,6.4165,-158939,841061,-15.8939,-19.7119
KRX_CONTINUOUS_AFTERNOON,DS001903,삼성전자,0193W0,LONG,20/30,3/20,NONE,88,75,13,2,25.00,-0.1848,-0.3428,14.58,-6.3606,5.9382,-158964,841036,-15.8964,-22.2272
KRX_CONTINUOUS_AFTERNOON,DS000803,삼성전자,0193W0,LONG,3/30,3/10,30,63,56,7,2,33.33,-0.2677,-0.4579,7.89,-2.4411,3.4947,-158974,841026,-15.8974,-15.8974
KRX_CONTINUOUS_AFTERNOON,DS000371,삼성전자,0193W0,LONG,5/30,3/5,30,49,47,2,1,20.41,-0.3501,-0.3329,4.31,-2.3700,2.1569,-159222,840778,-15.9222,-15.9222
KRX_CONTINUOUS_AFTERNOON,DS004723,SK하이닉스,0197X0,SHORT,10/30,20/30,NONE,90,61,29,4,41.11,-0.1718,-0.2683,21.14,-6.7901,6.1305,-159311,840689,-15.9311,-20.0031
KRX_CONTINUOUS_AFTERNOON,DS004737,삼성전자,0193W0,LONG,10/30,20/30,10,83,52,31,2,34.94,-0.1904,-0.4711,20.66,-5.1069,6.5107,-159359,840641,-15.9359,-19.7221
KRX_CONTINUOUS_AFTERNOON,DS000071,SK하이닉스,0197X0,SHORT,3/10,3/5,30,137,124,13,2,36.50,-0.1214,-0.2324,5.09,-2.8693,3.8205,-159557,840443,-15.9557,-22.4401
KRX_CONTINUOUS_AFTERNOON,DS001030,SK하이닉스,0197X0,SHORT,3/10,5/10,20,144,126,18,3,36.11,-0.1098,-0.2452,10.18,-3.1659,8.2638,-159586,840414,-15.9586,-16.0416
KRX_CONTINUOUS_AFTERNOON,DS002135,SK하이닉스,0197X0,SHORT,5/20,5/20,30,84,64,20,1,32.14,-0.1928,-0.5119,12.86,-3.9745,8.6954,-159587,840413,-15.9587,-17.0210
KRX_CONTINUOUS_AFTERNOON,DS002303,삼성전자,0193L0,SHORT,5/30,5/20,30,60,44,16,2,38.33,-0.2764,-0.2642,16.60,-5.8317,4.9865,-159606,840394,-15.9606,-19.5213
KRX_CONTINUOUS_AFTERNOON,DS001307,SK하이닉스,0193T0,LONG,5/30,5/10,30,49,42,7,2,32.65,-0.3362,-0.4412,9.73,-5.3761,5.4794,-159784,840216,-15.9784,-18.4415
KRX_CONTINUOUS_AFTERNOON,DS000683,SK하이닉스,0193T0,LONG,5/20,3/10,30,66,57,9,2,31.82,-0.2556,-0.3841,8.12,-4.4292,5.5513,-160411,839589,-16.0411,-16.3842
KRX_CONTINUOUS_AFTERNOON,DS001523,삼성전자,0193W0,LONG,3/10,3/20,30,138,117,21,4,32.61,-0.1169,-0.3436,13.24,-2.7974,6.2249,-160663,839337,-16.0663,-28.1165
KRX_CONTINUOUS_AFTERNOON,DS002074,SK하이닉스,0193T0,LONG,3/20,5/20,20,90,72,18,2,30.00,-0.1655,-0.5091,15.14,-5.3761,6.1932,-160782,839218,-16.0782,-25.3221
KRX_CONTINUOUS_AFTERNOON,DS000322,삼성전자,0193W0,LONG,3/30,3/5,20,83,78,5,1,28.92,-0.2067,-0.2974,4.80,-1.9872,4.1833,-160824,839176,-16.0824,-16.0824
KRX_CONTINUOUS_AFTERNOON,DS004630,SK하이닉스,0197X0,SHORT,3/30,20/30,20,99,67,32,3,42.42,-0.1556,-0.1543,17.78,-5.6138,6.4738,-160856,839144,-16.0856,-20.0657
KRX_CONTINUOUS_AFTERNOON,DS003635,삼성전자,0193W0,LONG,10/20,5/30,30,63,45,18,2,28.57,-0.2703,-0.5557,14.86,-2.7027,4.7338,-161019,838981,-16.1019,-20.9097
