"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"KRX_CONTINUOUS","DS004303","삼성전자","0193W0","LONG","20/30","10/30","NONE","122","113","9","3","24.59","-0.3980","-0.5263","22.53","-4.5115","5.5431","-392491","607509","-39.2491"
"KRX_CONTINUOUS","DS002575","삼성전자","0193W0","LONG","3/20","10/20","NONE","249","232","17","5","32.53","-0.1894","-0.3887","17.93","-4.6634","6.5831","-393007","606993","-39.3007"
"KRX_CONTINUOUS","DS004450","삼성전자","0193W0","LONG","5/10","20/30","20","160","149","11","7","32.50","-0.2808","-0.5607","23.01","-4.4553","7.0961","-393058","606942","-39.3058"
"KRX_CONTINUOUS","DS004020","삼성전자","0193W0","LONG","3/20","10/30","50","126","119","7","6","28.57","-0.3797","-0.5383","25.72","-5.1116","5.9031","-393262","606738","-39.3262"
"KRX_CONTINUOUS","DS000011","SK하이닉스","0193T0","LONG","3/5","3/5","30","242","239","3","2","28.93","-0.2013","-0.3980","4.85","-2.9320","7.0780","-393952","606048","-39.3952"
"KRX_CONTINUOUS","DS000127","삼성전자","0193W0","LONG","5/10","3/5","NONE","354","351","3","2","29.10","-0.1377","-0.2397","5.07","-2.2352","6.1114","-394339","605661","-39.4339"
"KRX_CONTINUOUS","DS003151","삼성전자","0193W0","LONG","10/20","3/30","NONE","167","157","10","3","29.94","-0.2933","-0.4854","18.63","-4.2726","5.3840","-394987","605013","-39.4987"
"KRX_CONTINUOUS","DS003848","SK하이닉스","0193T0","LONG","3/5","10/30","5","251","227","24","8","31.87","-0.1094","-0.5688","32.91","-6.5093","11.7921","-395504","604496","-39.5504"
"KRX_CONTINUOUS","DS000608","삼성전자","0193W0","LONG","5/10","3/10","5","325","316","9","3","30.77","-0.1499","-0.3119","8.19","-2.1196","5.8406","-396028","603972","-39.6028"
"KRX_CONTINUOUS","DS002962","삼성전자","0193W0","LONG","3/10","3/30","20","183","177","6","6","27.32","-0.2586","-0.4659","16.87","-4.1784","6.5920","-396687","603313","-39.6687"
"KRX_CONTINUOUS","DS004016","삼성전자","0193W0","LONG","3/20","10/30","5","205","188","17","5","34.15","-0.2245","-0.4592","28.99","-5.1116","7.6623","-396915","603085","-39.6915"
"KRX_CONTINUOUS","DS002072","SK하이닉스","0193T0","LONG","3/20","5/20","5","167","158","9","3","29.94","-0.2879","-0.4765","16.66","-4.9790","7.4464","-397087","602913","-39.7087"
"KRX_CONTINUOUS","DS002996","SK하이닉스","0197X0","SHORT","5/10","3/30","5","299","283","16","5","35.12","-0.1392","-0.3067","23.76","-11.1982","12.8626","-397301","602699","-39.7301"
"KRX_CONTINUOUS","DS004711","SK하이닉스","0193T0","LONG","10/30","20/30","NONE","104","93","11","4","30.77","-0.4651","-0.6048","27.41","-5.6513","9.5025","-397439","602561","-39.7439"
"KRX_CONTINUOUS","DS002505","SK하이닉스","0193T0","LONG","5/10","10/20","10","143","135","8","5","30.77","-0.3225","-0.5958","20.80","-6.9002","6.9300","-397868","602132","-39.7868"
"KRX_CONTINUOUS","DS001591","SK하이닉스","0193T0","LONG","3/20","3/20","NONE","190","184","6","1","27.37","-0.2586","-0.5369","12.62","-3.2832","7.4464","-398257","601743","-39.8257"
"KRX_CONTINUOUS","DS003969","삼성전자","0193W0","LONG","5/10","10/30","10","147","136","11","5","28.57","-0.3180","-0.5835","27.82","-4.9713","9.4293","-398491","601509","-39.8491"
"KRX_CONTINUOUS","DS004544","삼성전자","0193W0","LONG","5/20","20/30","5","198","181","17","4","35.35","-0.2327","-0.4105","28.54","-5.1068","7.6623","-398547","601453","-39.8547"
"KRX_CONTINUOUS","DS004208","삼성전자","0193W0","LONG","5/30","10/30","5","160","147","13","4","28.13","-0.3076","-0.5084","23.15","-4.7328","7.3307","-398707","601293","-39.8707"
"KRX_CONTINUOUS","DS000045","삼성전자","0193L0","SHORT","3/5","3/5","10","344","340","4","2","28.20","-0.1435","-0.2000","4.99","-3.0413","13.0214","-398892","601108","-39.8892"
"KRX_CONTINUOUS","DS003691","삼성전자","0193L0","SHORT","3/30","5/30","NONE","206","192","14","3","25.73","-0.2355","-0.4184","19.52","-4.5985","13.7559","-398953","601047","-39.8953"
"KRX_CONTINUOUS","DS004713","SK하이닉스","0193T0","LONG","10/30","20/30","10","94","83","11","2","28.72","-0.5178","-0.7635","27.63","-5.6513","9.5025","-399017","600983","-39.9017"
"KRX_CONTINUOUS","DS004747","삼성전자","0193L0","SHORT","10/30","20/30","NONE","130","116","14","3","30.77","-0.3787","-0.3669","29.09","-8.5459","3.4171","-400289","599711","-40.0289"
"KRX_CONTINUOUS","DS002039","SK하이닉스","0197X0","SHORT","5/10","5/20","30","149","145","4","4","28.86","-0.3304","-0.5687","16.52","-5.1400","5.8942","-400377","599623","-40.0377"
"KRX_CONTINUOUS","DS004464","삼성전자","0193L0","SHORT","5/10","20/30","50","171","148","23","6","31.58","-0.2831","-0.4403","24.57","-5.6867","13.4411","-400620","599380","-40.0620"
"KRX_CONTINUOUS","DS002517","SK하이닉스","0197X0","SHORT","5/10","10/20","10","143","136","7","4","32.17","-0.3395","-0.5663","20.10","-4.6741","7.0159","-400653","599347","-40.0653"
"KRX_CONTINUOUS","DS000009","SK하이닉스","0193T0","LONG","3/5","3/5","10","261","256","5","2","31.03","-0.1908","-0.3764","5.04","-2.3610","7.0780","-400903","599097","-40.0903"
"KRX_CONTINUOUS","DS004641","삼성전자","0193W0","LONG","3/30","20/30","10","148","135","13","3","29.05","-0.3260","-0.5604","26.80","-4.4553","7.4410","-401396","598604","-40.1396"
"KRX_CONTINUOUS","DS002004","삼성전자","0193W0","LONG","3/10","5/20","50","190","178","12","4","31.05","-0.2597","-0.3774","17.03","-3.7153","5.1618","-402254","597746","-40.2254"
"KRX_CONTINUOUS","DS004496","삼성전자","0193W0","LONG","3/20","20/30","5","205","188","17","5","34.63","-0.2220","-0.4175","30.50","-5.0134","7.6623","-402730","597270","-40.2730"
"KRX_CONTINUOUS","DS004759","SK하이닉스","0193T0","LONG","20/30","20/30","NONE","98","91","7","1","25.51","-0.5062","-0.6916","23.44","-6.3664","9.0080","-402743","597257","-40.2743"
"KRX_CONTINUOUS","DS001944","SK하이닉스","0197X0","SHORT","3/5","5/20","50","337","328","9","8","31.16","-0.1228","-0.4999","19.21","-4.8198","17.1694","-404254","595746","-40.4254"
"KRX_CONTINUOUS","DS004378","SK하이닉스","0193T0","LONG","3/10","20/30","20","137","128","9","9","28.47","-0.3323","-0.7634","26.62","-4.5653","8.5877","-405883","594117","-40.5883"
"KRX_CONTINUOUS","DS002999","SK하이닉스","0197X0","SHORT","5/10","3/30","30","149","145","4","3","24.16","-0.3402","-0.5605","16.77","-4.1202","6.2205","-406270","593730","-40.6270"
"KRX_CONTINUOUS","DS002551","SK하이닉스","0193T0","LONG","3/20","10/20","NONE","190","180","10","4","33.16","-0.2503","-0.4179","21.13","-6.5341","7.4106","-406502","593498","-40.6502"
"KRX_CONTINUOUS","DS000501","SK하이닉스","0197X0","SHORT","3/5","3/10","10","324","321","3","4","28.40","-0.1468","-0.4283","9.27","-5.3553","18.0505","-406650","593350","-40.6650"
"KRX_CONTINUOUS","DS004567","SK하이닉스","0193T0","LONG","10/20","20/30","NONE","141","126","15","5","31.21","-0.3485","-0.5640","31.64","-5.0378","9.3607","-407484","592516","-40.7484"
"KRX_CONTINUOUS","DS003799","SK하이닉스","0193T0","LONG","20/30","5/30","NONE","98","88","10","3","21.43","-0.5187","-0.6818","21.33","-7.0896","6.2442","-407762","592238","-40.7762"
"KRX_CONTINUOUS","DS000056","SK하이닉스","0193T0","LONG","3/10","3/5","5","263","257","6","2","29.28","-0.1938","-0.3327","5.15","-2.4885","6.2247","-407830","592170","-40.7830"
"KRX_CONTINUOUS","DS002095","삼성전자","0193W0","LONG","3/20","5/20","NONE","249","235","14","4","30.12","-0.2032","-0.3438","15.39","-3.7153","5.3498","-408398","591602","-40.8398"
"KRX_CONTINUOUS","DS001524","삼성전자","0193W0","LONG","3/10","3/20","50","190","179","11","4","26.84","-0.2673","-0.4107","13.41","-3.2527","5.5782","-408505","591495","-40.8505"
"KRX_CONTINUOUS","DS004593","삼성전자","0193W0","LONG","10/20","20/30","10","157","142","15","4","30.57","-0.3134","-0.4829","28.93","-5.1068","7.3307","-408832","591168","-40.8832"
"KRX_CONTINUOUS","DS002589","삼성전자","0193L0","SHORT","3/20","10/20","10","183","173","10","3","33.33","-0.2730","-0.3836","20.69","-5.3934","13.5461","-409229","590771","-40.9229"
"KRX_CONTINUOUS","DS001522","삼성전자","0193W0","LONG","3/10","3/20","20","183","178","5","4","25.14","-0.2804","-0.4393","11.70","-3.2527","4.2730","-409308","590692","-40.9308"
"KRX_CONTINUOUS","DS000971","SK하이닉스","0193T0","LONG","3/5","5/10","30","242","238","4","5","35.54","-0.2036","-0.3191","12.37","-7.6054","5.5449","-409760","590240","-40.9760"
"KRX_CONTINUOUS","DS002972","삼성전자","0193L0","SHORT","3/10","3/30","5","300","292","8","8","31.67","-0.1494","-0.3963","22.96","-10.0659","13.7559","-410119","589881","-41.0119"
"KRX_CONTINUOUS","DS003009","삼성전자","0193W0","LONG","5/10","3/30","10","147","141","6","4","29.25","-0.3470","-0.4912","18.96","-4.0367","6.3190","-410294","589706","-41.0294"
"KRX_CONTINUOUS","DS004161","삼성전자","0193W0","LONG","3/30","10/30","10","148","133","15","3","29.73","-0.3423","-0.6133","24.03","-4.7328","7.4410","-410358","589642","-41.0358"
"KRX_CONTINUOUS","DS001016","SK하이닉스","0193T0","LONG","3/10","5/10","5","263","254","9","2","34.22","-0.1918","-0.3334","10.10","-3.7368","6.2247","-411651","588349","-41.1651"
"KRX_CONTINUOUS","DS003477","SK하이닉스","0197X0","SHORT","5/10","5/30","10","143","136","7","5","32.87","-0.3517","-0.6474","24.29","-9.0710","5.6523","-413659","586341","-41.3659"
"KRX_CONTINUOUS","DS004403","삼성전자","0193W0","LONG","3/10","20/30","30","181","174","7","6","31.49","-0.2618","-0.4609","22.31","-5.0134","6.5920","-414057","585943","-41.4057"
"KRX_CONTINUOUS","DS003896","SK하이닉스","0193T0","LONG","3/10","10/30","5","263","237","26","7","31.94","-0.1458","-0.5712","32.32","-6.5093","11.7921","-414949","585051","-41.4949"
"KRX_CONTINUOUS","DS001521","삼성전자","0193W0","LONG","3/10","3/20","10","155","151","4","4","27.10","-0.3379","-0.4606","13.08","-3.2527","4.2730","-415435","584565","-41.5435"
"KRX_CONTINUOUS","DS001615","삼성전자","0193W0","LONG","3/20","3/20","NONE","249","238","11","2","26.91","-0.2106","-0.3886","11.16","-3.2527","5.3498","-415540","584460","-41.5540"
