"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"INTEGRATED_CONTINUOUS","DS003598","삼성전자","0193L0","SHORT","5/20","5/30","20","69","65","4","3","28.99","-0.2212","-0.3980","20.36","-2.2756","3.2656","-145058","854942","-14.5058"
"INTEGRATED_CONTINUOUS","DS001307","SK하이닉스","0193T0","LONG","5/30","5/10","30","55","52","3","2","30.91","-0.2791","-0.2651","10.16","-2.5268","3.0135","-145249","854751","-14.5249"
"INTEGRATED_CONTINUOUS","DS000475","삼성전자","0193L0","SHORT","20/30","3/5","NONE","122","122","0","2","34.43","-0.1267","-0.1800","5.57","-3.1126","3.4298","-146047","853953","-14.6047"
"INTEGRATED_CONTINUOUS","DS001823","삼성전자","0193L0","SHORT","5/30","3/20","30","66","64","2","2","30.30","-0.2351","-0.4933","15.36","-1.2638","4.0482","-146135","853865","-14.6135"
"INTEGRATED_CONTINUOUS","DS002699","SK하이닉스","0193T0","LONG","3/30","10/20","30","58","53","5","3","32.76","-0.2572","-0.2568","20.10","-4.6994","6.6040","-146167","853833","-14.6167"
"INTEGRATED_CONTINUOUS","DS001824","삼성전자","0193L0","SHORT","5/30","3/20","50","77","74","3","2","28.57","-0.2009","-0.4288","15.66","-1.5540","4.0482","-146326","853674","-14.6326"
"INTEGRATED_CONTINUOUS","DS002867","삼성전자","0193W0","LONG","20/30","10/20","30","52","49","3","1","28.85","-0.2962","-0.5923","16.88","-1.8749","4.6363","-146502","853498","-14.6502"
"INTEGRATED_CONTINUOUS","DS003792","삼성전자","0193L0","SHORT","10/30","5/30","50","64","59","5","2","21.88","-0.2378","-0.4858","21.25","-3.9143","7.1481","-146506","853494","-14.6506"
"INTEGRATED_CONTINUOUS","DS000431","삼성전자","0193L0","SHORT","10/30","3/5","30","49","49","0","1","14.29","-0.3214","-0.3638","4.29","-2.1324","1.5764","-146571","853429","-14.6571"
"INTEGRATED_CONTINUOUS","DS001654","SK하이닉스","0197X0","SHORT","5/20","3/20","20","89","86","3","2","30.34","-0.1715","-0.5171","14.91","-3.2730","4.4276","-147333","852667","-14.7333"
"INTEGRATED_CONTINUOUS","DS000343","SK하이닉스","0193T0","LONG","5/30","3/5","NONE","123","120","3","2","33.33","-0.1246","-0.2978","5.30","-2.4837","5.3457","-147362","852638","-14.7362"
"INTEGRATED_CONTINUOUS","DS002687","삼성전자","0193L0","SHORT","10/20","10/20","30","79","76","3","2","25.32","-0.1945","-0.3570","20.52","-3.0643","5.5882","-147475","852525","-14.7475"
"INTEGRATED_CONTINUOUS","DS002518","SK하이닉스","0197X0","SHORT","5/10","10/20","20","158","149","9","5","34.18","-0.0739","-0.4616","19.98","-3.8309","11.2719","-147538","852462","-14.7538"
